Price,Catergory,Brand,Name,Type,Code,GB,Watt
0,VGA,MSI,MSI GeForce GTX 1070 AERO 8G OC,NVIDIA,1070,8,600
0,VGA,MSI,MSI GeForce GTX 1070 SEA HAWK X (tản nhiệt nước),NVIDIA,1070,8,600
0,VGA,MSI,MSI GTX 1080 GAMING Z 8G (Limited),NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 AERO 8G,NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 AERO 8G OC,NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 SEA HAWK X (tản nhiệt nước),NVIDIA,1080,8,800
0,VGA,MSI,MSI GTX 1080 GAMING Z 8G (Limited),NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 AERO 8G,NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 AERO 8G OC,NVIDIA,1080,8,800
0,VGA,MSI,MSI GeForce GTX 1080 SEA HAWK X (tản nhiệt nước),NVIDIA,1080,8,800
0,VGA,,Zotac Nvidia Geforce GT420,NVIDIA,420,2,300
0,VGA,,Zotac Nvidia Geforce GT420,NVIDIA,420,2,300
0,VGA,Zotac,Zotac GeForce GT 630,NVIDIA,630,1,300
0,VGA,Zotac,Zotac GeForce GT 630,NVIDIA,630,2,300
0,VGA,Zotac,ZOTAC GT640 Synergy Edi Tion,NVIDIA,640,2,400
0,VGA,Zotac,ZOTAC GT640 Synergy Edi Tion,NVIDIA,640,2,400
0,VGA,Gainward,Gainward GeForce GTX 650 1GB GDDR5 192bit,NVIDIA,650,1,400
0,VGA,Asus,ASUS GTX 650-DCG-1GD5,NVIDIA,650,1,400
0,VGA,Asus,ASUS GTX 650-DCT-1GD5,NVIDIA,650,1,400
0,VGA,Asus,ASUS GTX 650-E-2GD5,NVIDIA,650,2,400
0,VGA,Asus,ASUS GTX 650-DCG-1GD5,NVIDIA,650,1,400
0,VGA,Asus,ASUS GTX 650-DCT-1GD5,NVIDIA,650,1,400
0,VGA,Asus,ASUS GTX 650-E-2GD5,NVIDIA,650,2,400
0,VGA,Gainward,Gainward GeForce GTX 660 2GB GDDR5 256Bit &amp;amp;amp;quot;Golden Sample - Dual Fan ,NVIDIA,660,2,450
0,VGA,,ASUS GTX 660-DC2-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2O-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2T-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2TG-2GD5,NVIDIA,660,2,450
0,VGA,,ASUS GTX 660-DC2-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2O-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2T-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660-DC2TG-2GD5,NVIDIA,660,2,450
0,VGA,Asus,ASUS GTX 660 Ti-DC2-2GD5,NVIDIA,660 Ti,2,450
0,VGA,Asus,ASUS GTX 660 Ti-DC2T-2GD5,NVIDIA,660 Ti,2,450
0,VGA,Asus,ASUS GTX 660 Ti-DC2-2GD5,NVIDIA,660 Ti,2,450
0,VGA,Asus,ASUS GTX 660 Ti-DC2T-2GD5,NVIDIA,660 Ti,2,450
0,VGA,Asus,ASUS GTX 670-DC2-2GD5,NVIDIA,670,2,600
0,VGA,Asus,Asus GTX 670-DC2-2GD5,NVIDIA,670,2,600
0,VGA,Asus,ASUS GTX 670-DC2OG-2GD5(256bits),NVIDIA,670,2,600
