Price,Catergory,Brand,Name,1,2,3,4
290000,Case,GOLDEN FIELD,GOLDEN FIELD 2716,,,,
260000,Case,Goldencom,Goldencom  5002,,,,
0,Case,Goldencom,Goldencom 180A ,,,,
0,Case,Goldencom,Goldencom 180C,,,,
0,Case,Goldencom,Goldencom 180D,,,,
0,Case,Goldencom,Goldencom 180E,,,,
0,Case,Goldencom,Goldencom 180F,,,,
0,Case,Goldencom,Goldencom 5003,,,,
0,Case,Goldencom,Goldencom 5006,,,,
370000,Case,Goldencom,Goldencom Slim 103A,,,,
0,Case,Goldencom,Goldencom Slim 103B,,,,
4490000,Case,INWIN,In-Win 805 - Aluminium &amp;amp;amp;amp; Tempered Glass,,,,
19899000,Case,INWIN,In-Win S-Frame Black/Gold Limited Edition - Luxury Case,,,,
1650000,Case,Thermaltake,Thermaltake Core V31 Window,,,,
559000,Case,Xigmatek,Xigmatek Aeos CCM-23ABX-U01,,,,
1799000,Case,Xigmatek,Xigmatek Aquila Black Window CCD-14AWW-U01,,,,
1499000,Case,Xigmatek,XIGMATEK Assassin W Black CCM-38DBW-U01,,,,
499000,Case,Xigmatek,XIGMATEK Echo EN5490,,,,
3888000,Case,Xigmatek,Xigmatek Elysium Black window CCC-HSA0DS-U01,,,,
699000,Case,Xigmatek,XIGMATEK Mach II EEN6732,,,,
718000,Case,Xigmatek,XIGMATEK Mach III,,,,
2099000,Case,Xigmatek,Xigmatek Midgard III (QI) CCM-44ABX-U02,,,,
1599000,Case,Xigmatek,Xigmatek Nebula C EN6329,,,,
2499000,Case,Xigmatek,Xigmatek Odin CCM-37BBX-U01,,,,
499000,Case,Xigmatek,XIGMATEK Recon CCM-35ABX-U01,,,,
849000,Case,Xigmatek,XIGMATEK Shockwave EN5988,,,,
699000,Case,Xigmatek,XIGMATEK Soundwave EN6725,,,,
649000,Case,Xigmatek,Xigmatek Spirit M EN6213,,,,
1299000,Case,Xigmatek,XIGMATEK Spirit W CCM-37CBW-U01,,,,
1999000,Case,Xigmatek,Xigmatek Talon (Window side panel) CCM-38BBW-U01,,,,
1125000,Case,Xigmatek,Xigmatek Vanguard  EN5872,,,,
